"row.id","col.id","PRIMARY_NAME_SF","LOCATION_ADDRESS_SF","CITY_NAME_SF","geometry.x","location_name_PFOA","location_PFOA","geometry.y"
"1",5,10,"EARECKSON AIR STATION USAF","SHEMYA ISLAND","ADAK",c(174.107672, 52.722466),"Earekson Air Station, Shemya Island, Aleutian Islands, Alaska","shemya island, aleutian islands, alaska",c(174.113615264899, 52.7139660495138)
"111",364,34,"INDUSTRIAL WASTE CONTROL","BONANZA ROAD","FORT SMITH",c(-94.3525, 35.2402),"Fort Smith Municipal Airport/ANGB, Fort Smith, Arkansas","fort smith, arkansas",c(-94.3643069, 35.3371854)
"112",365,34,"UNITED STATES FORGECRAFT CORPORATION","END SOUTH 3RD STREET","FORT SMITH",c(-94.418333, 35.387778),"Fort Smith Municipal Airport/ANGB, Fort Smith, Arkansas","fort smith, arkansas",c(-94.3643069, 35.3371854)
"113",407,34,"ALLEN CANNING COMAPNY","700 SOUTH 12TH STREET","VAN BUREN",c(-94.34667, 35.44412),"Fort Smith Municipal Airport/ANGB, Fort Smith, Arkansas","fort smith, arkansas",c(-94.3643069, 35.3371854)
"114",408,34,"ARKANSAS ZINC SMELTING COMPANY","3101 KIBLER ROAD","VAN BUREN",c(-94.32418, 35.43631),"Fort Smith Municipal Airport/ANGB, Fort Smith, Arkansas","fort smith, arkansas",c(-94.3643069, 35.3371854)
"115",422,26,"AGUA FRIA HIGH SCHOOL MERCURY","530 EAST RILEY DRIVE","AVONDALE",c(-112.34431, 33.43896),"Luke Air Force Base, Glendale, Maricopa County, Arizona","glendale, maricopa county, arizona",c(-112.3755018, 33.5414884)
"116",434,30,"GILA RIVER INDIAN COMMUNITY TOXAPHENE SITE","S KYRENE AND E PECOS ROADS","CHANDLER",c(-111.94568, 33.29072),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"117",435,30,"THERM-O-ROCK WEST INCORPORATED","6732 W WILLIS RD","CHANDLER",c(-111.956905, 33.284539),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"118",441,31,"US DOD USAF DAVIS-MONTHAN AFB","355 CES/CEAN","DAVIS MONTHAN AFB",c(-110.880984, 32.177886),"Tucson / Davis-Monthan Air Force Base, Tucson, Arizona","tucson, arizona",c(-110.8592578, 32.1675525)
"119",441,32,"US DOD USAF DAVIS-MONTHAN AFB","355 CES/CEAN","DAVIS MONTHAN AFB",c(-110.880984, 32.177886),"Tucson Intl Airport / ANGB, Tucson, Arizona","tucson, arizona",c(-110.9392269, 32.1145102)
"120",445,26,"USAF LUKE AIR FORCE BASE","7011 N EL MIRAGE RD","GLENDALE",c(-112.3567, 33.54),"Luke Air Force Base, Glendale, Maricopa County, Arizona","glendale, maricopa county, arizona",c(-112.3755018, 33.5414884)
"121",451,26,"PHOENIX-GOODYEAR AIRPORT AREA","BETWEEN LWR BUCKEYE ROAD & VAN BUREN","GOODYEAR",c(-112.3653, 33.429719),"Luke Air Force Base, Glendale, Maricopa County, Arizona","glendale, maricopa county, arizona",c(-112.3755018, 33.5414884)
"122",452,26,"UNIDYNAMICS/PHOENIX INC. - WHITE TANKS","SECTION 1, TOWNSHIP 2N, RANGE 3W","GOODYEAR",c(-112.5, 33.55),"Luke Air Force Base, Glendale, Maricopa County, Arizona","glendale, maricopa county, arizona",c(-112.3755018, 33.5414884)
"123",463,26,"GOODYEAR AEROSPACE CORP","101 S LITCHFIELD RD","LITCHFIELD PARK",c(-112.35831, 33.442354),"Luke Air Force Base, Glendale, Maricopa County, Arizona","glendale, maricopa county, arizona",c(-112.3755018, 33.5414884)
"124",466,28,"MESA RICIN BEANS","1030 SOUTH DOBSON ROAD","MESA",c(-111.8746, 33.39582),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"125",466,30,"MESA RICIN BEANS","1030 SOUTH DOBSON ROAD","MESA",c(-111.8746, 33.39582),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"126",482,28,"19TH AVENUE LANDFILL","19TH AVE AND LOWER BUCKEYE","PHOENIX",c(-112.0917, 33.416669),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"127",482,30,"19TH AVENUE LANDFILL","19TH AVE AND LOWER BUCKEYE","PHOENIX",c(-112.0917, 33.416669),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"128",483,28,"ARIZONA PROJECTS OFFICE","2636 N 7TH ST","PHOENIX",c(-112.065089, 33.477096),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"129",483,30,"ARIZONA PROJECTS OFFICE","2636 N 7TH ST","PHOENIX",c(-112.065089, 33.477096),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"130",484,28,"AZTEC SPECIALTY CHEMICAL","2120 S 15TH PLACE","PHOENIX",c(-112.04888, 33.42631),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"131",484,30,"AZTEC SPECIALTY CHEMICAL","2120 S 15TH PLACE","PHOENIX",c(-112.04888, 33.42631),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"132",486,28,"F&B MFG CO","4316 N 39TH AVE","PHOENIX",c(-112.14292, 33.49914),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"133",487,28,"FELTON KING PROPERTY","611 S 15TH AVE","PHOENIX",c(-112.09129, 33.441378),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"134",487,30,"FELTON KING PROPERTY","611 S 15TH AVE","PHOENIX",c(-112.09129, 33.441378),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"135",488,28,"FORMER COUNTRY CLUB ONE HOUR CLEANERS","5618 EAST THOMAS ROAD","PHOENIX",c(-111.960359, 33.480048),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"136",488,30,"FORMER COUNTRY CLUB ONE HOUR CLEANERS","5618 EAST THOMAS ROAD","PHOENIX",c(-111.960359, 33.480048),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"137",489,28,"GARRETT TURBINE ENGINE CO","111 S 34TH ST.","PHOENIX",c(-112.00739, 33.44702),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"138",489,30,"GARRETT TURBINE ENGINE CO","111 S 34TH ST.","PHOENIX",c(-112.00739, 33.44702),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"139",490,28,"HILL BROTHERS CHEMICAL CO","4450 NORTH 42ND AVENUE","PHOENIX",c(-112.147778, 33.500556),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"140",491,28,"LANSDALE SEMICONDUCTOR - FORMER","3600 WEST OSBORN RD","PHOENIX",c(-112.13648, 33.48766),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"141",492,28,"LAYKE INC","3330 W OSBORN RD","PHOENIX",c(-112.131658, 33.487647),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"142",494,28,"ON SEMICONDUCTOR SCI LLC","5005 EAST MCDOWELL ROAD","PHOENIX",c(-111.9708, 33.461669),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"143",494,30,"ON SEMICONDUCTOR SCI LLC","5005 EAST MCDOWELL ROAD","PHOENIX",c(-111.9708, 33.461669),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"144",495,28,"PHOENIX HYDROCARBONS","ONE CAMELBACK ROAD","PHOENIX",c(-112.07376, 33.50928),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"145",495,30,"PHOENIX HYDROCARBONS","ONE CAMELBACK ROAD","PHOENIX",c(-112.07376, 33.50928),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"146",496,28,"QUALITY PRINTED CIRCUITS CORP","1831 SOUTH CENTRAL AVENUE","PHOENIX",c(-112.07375, 33.4293),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"147",496,30,"QUALITY PRINTED CIRCUITS CORP","1831 SOUTH CENTRAL AVENUE","PHOENIX",c(-112.07375, 33.4293),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"148",497,28,"SOLVENT RECY-CLEAN, INC.","1850 W. BROADWAY ROAD, SUITE 110","PHOENIX",c(-112.097619, 33.406734),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"149",497,30,"SOLVENT RECY-CLEAN, INC.","1850 W. BROADWAY ROAD, SUITE 110","PHOENIX",c(-112.097619, 33.406734),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"150",498,28,"SPECIALTY VERMICULITE CORP","4220 W GLENROSA","PHOENIX",c(-112.15032, 33.49863),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"151",499,28,"TARR INC ARIZONA","4115 WEST TURNEY","PHOENIX",c(-112.14734, 33.50044),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"152",500,28,"TRANSPORTATION SECURITY ADMINISTRATION (TSA)","1249 S 27TH ST","PHOENIX",c(-112.022983, 33.434821),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"153",500,30,"TRANSPORTATION SECURITY ADMINISTRATION (TSA)","1249 S 27TH ST","PHOENIX",c(-112.022983, 33.434821),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"154",501,28,"TRIUMPH PRECISION","3640 WEST OSBORN ROAD","PHOENIX",c(-112.13774, 33.48922),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"155",502,28,"U.S. ARMY NATIONAL GUARD PAPAGO PARK RANGE","5636 E MCDOWELL RD","PHOENIX",c(-111.962537, 33.465562),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"156",502,30,"U.S. ARMY NATIONAL GUARD PAPAGO PARK RANGE","5636 E MCDOWELL RD","PHOENIX",c(-111.962537, 33.465562),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"157",503,28,"UNIVAR USA INC","2930 W OSBORN RD","PHOENIX",c(-112.12201, 33.48768),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"158",504,28,"VIKING CLEANERS - FORMER","4029 N 32ND ST","PHOENIX",c(-112.013009, 33.494174),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"159",504,30,"VIKING CLEANERS - FORMER","4029 N 32ND ST","PHOENIX",c(-112.013009, 33.494174),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"160",505,28,"WEST PHOENIX IND AREA","AREA BORDERNG PHOENIX WELL #71","PHOENIX",c(-112.126667, 33.458333),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"161",506,28,"WEST VAN BUREN GROUND WATER","APPROX. 43RD AVENUE AND HARRISON STREET","PHOENIX",c(-112.152311, 33.4442),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"162",507,28,"WESTERN DYNEX","3536 W OSBORN","PHOENIX",c(-112.13562, 33.48767),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"163",531,28,"INDIAN BEND WASH AREA","MCDOWELL RD & HAYDEN","SCOTTSDALE",c(-111.9083, 33.466669),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"164",531,30,"INDIAN BEND WASH AREA","MCDOWELL RD & HAYDEN","SCOTTSDALE",c(-111.9083, 33.466669),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"165",534,27,"SOMERTON LANDFILL","S OF AZ 95 AT 16TH. ST & AVE B","SOMERTON",c(-114.71, 32.596667),"Marine Corps Air Station Yuma, Yuma, Arizona","yuma, arizona",c(-114.5814686, 32.6563828)
"166",538,28,"ARIZONA CASTING","115 N PERRY LN","TEMPE",c(-111.904761, 33.429065),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"167",538,30,"ARIZONA CASTING","115 N PERRY LN","TEMPE",c(-111.904761, 33.429065),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"168",539,28,"DCE CIRCUITS","1310 E 8TH ST","TEMPE",c(-111.91607, 33.41931),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"169",539,30,"DCE CIRCUITS","1310 E 8TH ST","TEMPE",c(-111.91607, 33.41931),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"170",540,28,"SANDERS AVIATION","56TH ST N OF ELLIOTT RD","TEMPE",c(-111.935, 33.325),"Phoenix ANGB / Sky Harbor Int Airport, Phoenix, Arizona","phoenix, arizona",c(-112.0077881, 33.4372686)
"171",540,30,"SANDERS AVIATION","56TH ST N OF ELLIOTT RD","TEMPE",c(-111.935, 33.325),"Tempe / Former Williams Air Force Base, Tempe, Arizona","tempe, arizona",c(-111.9400054, 33.4255104)
"172",544,31,"ARIZONA AIR NATIONAL GUARD","1500 EAST VALENCIA ROAD","TUCSON",c(-110.948901, 32.13404),"Tucson / Davis-Monthan Air Force Base, Tucson, Arizona","tucson, arizona",c(-110.8592578, 32.1675525)
"173",544,32,"ARIZONA AIR NATIONAL GUARD","1500 EAST VALENCIA ROAD","TUCSON",c(-110.948901, 32.13404),"Tucson Intl Airport / ANGB, Tucson, Arizona","tucson, arizona",c(-110.9392269, 32.1145102)
"174",545,31,"BROADWAY LANDFILL-NORTH","T14S, R153, S8","TUCSON",c(-110.833333, 32.227222),"Tucson / Davis-Monthan Air Force Base, Tucson, Arizona","tucson, arizona",c(-110.8592578, 32.1675525)
"175",545,32,"BROADWAY LANDFILL-NORTH","T14S, R153, S8","TUCSON",c(-110.833333, 32.227222),"Tucson Intl Airport / ANGB, Tucson, Arizona","tucson, arizona",c(-110.9392269, 32.1145102)
"176",546,31,"BROADWAY LANDFILL-SOUTH","T14S, R153, S17","TUCSON",c(-110.829861, 32.21875),"Tucson / Davis-Monthan Air Force Base, Tucson, Arizona","tucson, arizona",c(-110.8592578, 32.1675525)
"177",546,32,"BROADWAY LANDFILL-SOUTH","T14S, R153, S17","TUCSON",c(-110.829861, 32.21875),"Tucson Intl Airport / ANGB, Tucson, Arizona","tucson, arizona",c(-110.9392269, 32.1145102)
"178",549,31,"FORMER MINEREC MINE","300 E VAMORI ST","TUCSON",c(-110.96426, 32.11079),"Tucson / Davis-Monthan Air Force Base, Tucson, Arizona","tucson, arizona",c(-110.8592578, 32.1675525)
"179",549,32,"FORMER MINEREC MINE","300 E VAMORI ST","TUCSON",c(-110.96426, 32.11079),"Tucson Intl Airport / ANGB, Tucson, Arizona","tucson, arizona",c(-110.9392269, 32.1145102)
"180",551,31,"MISSION UNIFORM AND LINEN","301 SOUTH PARK AVENUE","TUCSON",c(-110.95637, 32.21828),"Tucson / Davis-Monthan Air Force Base, Tucson, Arizona","tucson, arizona",c(-110.8592578, 32.1675525)
"181",551,32,"MISSION UNIFORM AND LINEN","301 SOUTH PARK AVENUE","TUCSON",c(-110.95637, 32.21828),"Tucson Intl Airport / ANGB, Tucson, Arizona","tucson, arizona",c(-110.9392269, 32.1145102)
"182",552,31,"OLIVERS CLEANERS - FORMER","300 E 7TH ST","TUCSON",c(-110.96668, 32.22641),"Tucson / Davis-Monthan Air Force Base, Tucson, Arizona","tucson, arizona",c(-110.8592578, 32.1675525)
"183",552,32,"OLIVERS CLEANERS - FORMER","300 E 7TH ST","TUCSON",c(-110.96668, 32.22641),"Tucson Intl Airport / ANGB, Tucson, Arizona","tucson, arizona",c(-110.9392269, 32.1145102)
"184",554,31,"RIGHT WAY CLEANERS","2500 N. ORACLE ROAD","TUCSON",c(-110.978, 32.25229),"Tucson / Davis-Monthan Air Force Base, Tucson, Arizona","tucson, arizona",c(-110.8592578, 32.1675525)
"185",554,32,"RIGHT WAY CLEANERS","2500 N. ORACLE ROAD","TUCSON",c(-110.978, 32.25229),"Tucson Intl Airport / ANGB, Tucson, Arizona","tucson, arizona",c(-110.9392269, 32.1145102)
"186",555,31,"ROLLING PROPERTY","10-38 NORTH PARK AVENUE","TUCSON",c(-110.956338, 32.221447),"Tucson / Davis-Monthan Air Force Base, Tucson, Arizona","tucson, arizona",c(-110.8592578, 32.1675525)
"187",555,32,"ROLLING PROPERTY","10-38 NORTH PARK AVENUE","TUCSON",c(-110.956338, 32.221447),"Tucson Intl Airport / ANGB, Tucson, Arizona","tucson, arizona",c(-110.9392269, 32.1145102)
"188",556,31,"TUCSON INTERNATIONAL AIRPORT AREA","7250 S TUCSON BLVD","TUCSON",c(-110.9333, 32.105561),"Tucson / Davis-Monthan Air Force Base, Tucson, Arizona","tucson, arizona",c(-110.8592578, 32.1675525)
"189",556,32,"TUCSON INTERNATIONAL AIRPORT AREA","7250 S TUCSON BLVD","TUCSON",c(-110.9333, 32.105561),"Tucson Intl Airport / ANGB, Tucson, Arizona","tucson, arizona",c(-110.9392269, 32.1145102)
"190",557,31,"TUCSON RESIDENTIAL MERCURY","768 W BUDMOORE TERRACE","TUCSON",c(-110.98433, 32.2512),"Tucson / Davis-Monthan Air Force Base, Tucson, Arizona","tucson, arizona",c(-110.8592578, 32.1675525)
"191",557,32,"TUCSON RESIDENTIAL MERCURY","768 W BUDMOORE TERRACE","TUCSON",c(-110.98433, 32.2512),"Tucson Intl Airport / ANGB, Tucson, Arizona","tucson, arizona",c(-110.9392269, 32.1145102)
"192",558,31,"UNITED MINES TUCSON CYANIDES","9100 E INDIAN HILLS RD","TUCSON,",c(-110.79801, 32.26863),"Tucson / Davis-Monthan Air Force Base, Tucson, Arizona","tucson, arizona",c(-110.8592578, 32.1675525)
"193",565,27,"US MARINE CORPS AIR STATION YUMA","AVENUE 3E","YUMA",c(-114.5888, 32.654581),"Marine Corps Air Station Yuma, Yuma, Arizona","yuma, arizona",c(-114.5814686, 32.6563828)
"194",566,39,"APACHE ROAD DRUM SITE","10150 APACHE ROAD","ADELANTO",c(-117.443946, 34.56338),"Former George AFB, Victorville, California","victorville, california",c(-117.3713952, 34.5890591)
"195",567,50,"U.S. NAVY NAVAL AIR STATION ALAMEDA","250 MALL SQUARE CODE 015","ALAMEDA",c(-122.33, 37.788889),"NAS Alameda, Alameda, California","alameda, california",c(-122.3126792, 37.7827396)
"196",567,51,"U.S. NAVY NAVAL AIR STATION ALAMEDA","250 MALL SQUARE CODE 015","ALAMEDA",c(-122.33, 37.788889),"Naval Station Treasure Island, Treasure Island, California","treasure island, california",c(-122.3707037, 37.8172181)
"197",589,38,"U.S. AIR FORCE CASTLE AFB CA","BUHACH ROAD & SANTA FE HIGHWAY","ATWATER",c(-120.5636, 37.367361),"Former Castle AFB, Merced County, California","merced county, california",c(-120.5779088, 37.3648271)
"198",608,49,"MOJAVE RIVER PYROTECHNICS SITE","POPLAR STREET AND TAYLOR LANE","BARSTOW",c(-116.99734, 34.91315),"Marine Corps Logistics Base Barstow, San Bernardino County, California","san bernardino county, california",c(-116.9543915, 34.8757909)
"199",609,49,"US MARINE CORPS LOGISTICS BASE","MARINE CORPS LOGISTICS BASE B570 BOX 110570","BARSTOW",c(-116.9389, 34.878331),"Marine Corps Logistics Base Barstow, San Bernardino County, California","san bernardino county, california",c(-116.9543915, 34.8757909)
"200",629,50,"SO PACIFIC TRANS CO","E/OLD BAYSHORE RD AT GENEVA","BRISBANE",c(-122.404167, 37.704167),"NAS Alameda, Alameda, California","alameda, california",c(-122.3126792, 37.7827396)
"201",629,51,"SO PACIFIC TRANS CO","E/OLD BAYSHORE RD AT GENEVA","BRISBANE",c(-122.404167, 37.704167),"Naval Station Treasure Island, Treasure Island, California","treasure island, california",c(-122.3707037, 37.8172181)
"202",640,48,"US DOD MARINE CORPS BASE CAMP PENDLETON","MARINE CORPS BASE","CAMP PENDLETON",c(-117.3408, 33.306669),"Marine Corps Base Camp Pendleton (South), San Diego County, California","san diego county, california",c(-117.3205123, 33.3178416)
"203",652,56,"CASMALIA RESOURCES","539 SAN YSIDRO ROAD NTU ROAD","CASMALIA",c(-120.544303, 34.863125),"Vandenberg AFB, Lompoc, California","lompoc, california",c(-120.5724404, 34.7420267)
"204",676,43,"REDLANDS SMUDGE POT TANKS SITE","100 FEET WEST OF REDLANDS BLVD AND TEXAS","CITY OF REDLANDS",c(-117.191357, 34.0577),"Former Norton AFB, Redlands, California","redlands, california",c(-117.1825381, 34.0555693)
"205",684,43,"CRANE CO","330 W CITRUS","COLTON",c(-117.32532, 34.08484),"Former Norton AFB, Redlands, California","redlands, california",c(-117.1825381, 34.0555693)
"206",685,43,"GRIFFIN WHEEL DUMP","1280 JEFFERSON STREET","COLTON",c(-117.326686, 34.049385),"Former Norton AFB, Redlands, California","redlands, california",c(-117.1825381, 34.0555693)
"207",686,43,"SAN BERNARDINO CO LDFL","LA CADENA & TROPICO RANCHO AVE","COLTON",c(-117.33166, 34.04342),"Former Norton AFB, Redlands, California","redlands, california",c(-117.1825381, 34.0555693)
"208",707,37,"WESTERN DIGITAL CORP","3128 REDHILL AVENUE","COSTA MESA",c(-117.87608, 33.67777),"El Toro Marine Corps Air Station, Orange County, California","orange county, california",c(-117.7293997, 33.6679336)
"209",707,47,"WESTERN DIGITAL CORP","3128 REDHILL AVENUE","COSTA MESA",c(-117.87608, 33.67777),"Marine Corps Air Station Tustin, Tustin, California","tustin, california",c(-117.8239274, 33.7029388)
"210",736,36,"U.S. AIR FORCE BASE EDWARDS AFB CA","5 EAST POPSON AVENUE","EDWARDS",c(-117.8857, 34.949439),"Edwards AFB, Kern County, California","kern county, california",c(-117.8912085, 34.9240314)
"211",752,55,"WICKES FOREST INDUSTRIES","EDWARDS & A STREETS","ELMIRA",c(-121.908223, 38.350759),"Travis AFB, Solano County, California","solano county, california",c(-121.9398577, 38.2721187)
"212",803,47,"MERCURY FACE CREAMS SITES","9775 BIXBY AVE","GARDEN GROVE",c(-117.96252, 33.78491),"Marine Corps Air Station Tustin, Tustin, California","tustin, california",c(-117.8239274, 33.7029388)
"213",814,40,"K J PLATING INCORPORATED","21750 MAIN ST.","GRAND TERRACE",c(-117.33103, 34.01933),"Former March AFB, Riverside County, California","riverside county, california",c(-117.2617329, 33.890884)
"214",814,43,"K J PLATING INCORPORATED","21750 MAIN ST.","GRAND TERRACE",c(-117.33103, 34.01933),"Former Norton AFB, Redlands, California","redlands, california",c(-117.1825381, 34.0555693)
